"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/21/2022","Amazon","AMZN Mktp US*1O34N0F10","24.86","debit","Shopping","CREDIT CARD","",""
"4/21/2022","Trader Joe's","TRADER JOE'S #571 QPS","32.90","debit","Groceries","CREDIT CARD","",""
"4/20/2022","Instacart","INSTACART","101.13","debit","Groceries","CREDIT CARD","",""
"4/20/2022","BEST PIZZA II","BEST PIZZA II","11.44","debit","Restaurants","CREDIT CARD","",""
"4/19/2022","Amazon","AMZN Mktp US*1A6TE0UO0","96.88","debit","Shopping","CREDIT CARD","",""
"4/19/2022","GrubHub Seamless","SEAMLSSCHINAJADE","48.95","debit","Food & Dining","CREDIT CARD","",""
"4/19/2022","VTG*LCSW","VTG*LCSW","30.00","debit","Doctor","CREDIT CARD","",""
"4/18/2022","COINBASE INC. 8889087930 69BA UNXS WEB ID: 1327000623","COINBASE INC.    8889087930 69BA","500.00","debit","Crypto","TOTAL CHECKING","",""
"4/18/2022","Udemy","UDEMY: ONLINE COURSES","19.99","debit","Shopping","CREDIT CARD","",""
"4/18/2022","Apple","APPLE.COM/BILL","0.99","debit","Electronics & Software","CREDIT CARD","",""
"4/18/2022","ENZO BRUNI LA PIZZA","ENZO BRUNI LA PIZZA","24.84","debit","Restaurants","CREDIT CARD","",""
"4/18/2022","Dunkin Donuts","DD/BR #351274 Q35","5.05","debit","Coffee Shops","CREDIT CARD","",""
"4/18/2022","MONTHLY SERVICE FEE","MONTHLY SERVICE FEE","3.01","debit","Bank Fee","CHASE SAVINGS","",""
"4/17/2022","UHAPDG.COM","UHAPDG.COM","2.99","debit","Fraud Reimbursed","CREDIT CARD","",""
"4/17/2022","Hulu","HLU*Hulu 1230570055541-U","12.00","debit","Movies & DVDs","CREDIT CARD","",""
"4/17/2022","MotoSport","REVZILLA MOTORSPORTS","112.55","debit","Motorcycle Parts","CREDIT CARD","",""
"4/15/2022","REVEL* RIDE","REVEL* RIDE","6.76","debit","Revel","CREDIT CARD","",""
"4/15/2022","Trader Joe's","TRADER JOE'S #571 QPS","51.72","debit","Groceries","CREDIT CARD","",""
"4/15/2022","The Bridge","UNDER THE BRIDGE","74.88","debit","Charity","CREDIT CARD","",""
"4/15/2022","GrubHub","GRUBHUBMOMOKAWA","35.96","debit","Food Delivery","CREDIT CARD","",""
"4/15/2022","Shell","SHELL OIL 57544416209","6.63","debit","Gas & Fuel","CREDIT CARD","",""
"4/14/2022","Payment Thank You - Web","Payment Thank You - Web","2000.00","credit","Credit Card Payment","CREDIT CARD","",""
"4/14/2022","GrubHub Seamless","SEAMLSSNICKSPIZZERIA","34.63","debit","Food & Dining","CREDIT CARD","",""
"4/14/2022","REVEL* RIDE","REVEL* RIDE","5.80","debit","Revel","CREDIT CARD","",""
"4/14/2022","HELP.HBOMAX.COM","HELP.HBOMAX.COM","14.99","debit","Entertainment","CREDIT CARD","",""
"4/14/2022","MEMORIAL SLOAN K PAYROLL PPD ID: 9200401281","MEMORIAL SLOAN K PAYROLL","2421.15","credit","MSK Paycheck","TOTAL CHECKING","",""
"4/14/2022","Chase card ending in 8242 04/14","Payment to Chase card ending in","2000.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"4/13/2022","NYTimes*NYTimes","NYTimes*NYTimes","28.53","debit","Newspapers & Magazines","CREDIT CARD","",""
"4/13/2022","Amazon","Amazon Digit*1H7H68RT2","7.99","debit","Shopping","CREDIT CARD","",""
"4/12/2022","Travelers Insurance","Travelers        PER INSUR","17.00","debit","Renters Insurance","TOTAL CHECKING","",""
"4/11/2022","Venmo Cashout Ppd","VENMO            CASHOUT","314.50","credit","Venmo","TOTAL CHECKING","",""
"4/11/2022","Lyft","LYFT   *1 RIDE 04-09","125.64","debit","Taxi_Lyft","CREDIT CARD","",""
"4/11/2022","PURCHASE INTEREST CHARGE","PURCHASE INTEREST CHARGE","175.41","debit","Finance Charge","CREDIT CARD","",""
"4/11/2022","GrubHub Seamless","SEAMLSSCHINAJADE","47.64","debit","Food & Dining","CREDIT CARD","",""
"4/11/2022","VTG*LCSW","VTG*LCSW","30.00","debit","Doctor","CREDIT CARD","",""
"4/10/2022","GrubHub Seamless","SEAMLSSENZOBRUNILAPIZ","41.71","debit","Food & Dining","CREDIT CARD","",""
"4/10/2022","MTA","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"4/10/2022","Lyft","LYFT   *1 RIDE 04-07","23.72","debit","Taxi_Lyft","CREDIT CARD","",""
"4/08/2022","BANLTT.COM","BANLTT.COM","48.19","debit","Fraud Reimbursed","CREDIT CARD","",""
"4/07/2022","Curb","CURB TAXI APP","14.76","debit","Taxi_Lyft","CREDIT CARD","",""
"4/07/2022","Brooklinen","BROOKLINEN","165.59","credit","Credit Card Payment","CREDIT CARD","",""
"4/07/2022","Trader Joe's","TRADER JOE'S #571 QPS","64.20","debit","Groceries","CREDIT CARD","",""
"4/07/2022","MACK WELDON","MACK WELDON","78.00","debit","Clothing","CREDIT CARD","",""
"4/07/2022","PayPal","PAYPAL           INST XFER  BTGU","6.95","debit","Shopping","TOTAL CHECKING","",""
"4/06/2022","BROOKLINEN","BROOKLINEN","165.59","debit","Gas & Fuel","CREDIT CARD","",""
"4/06/2022","VTG*LCSW","VTG*LCSW","30.00","debit","Doctor","CREDIT CARD","",""
"4/06/2022","GrubHub Seamless","SEAMLSSCHINAJADE","32.88","debit","Food & Dining","CREDIT CARD","",""
"4/06/2022","BROOKLINEN","BROOKLINEN","162.23","debit","Gas & Fuel","CREDIT CARD","",""
"4/06/2022","FH* NORTH COVE SAILING","FH* NORTH COVE SAILING","726.10","debit","Sailing Club","CREDIT CARD","",""
"4/06/2022","Instacart","INSTACART","70.58","debit","Groceries","CREDIT CARD","",""
"4/05/2022","GREEK EATS","GREEK EATS","19.72","debit","Restaurants","CREDIT CARD","",""
"4/05/2022","Shell","SHELL OIL 57544416209","7.10","debit","Gas & Fuel","CREDIT CARD","",""
"4/05/2022","Tiaa Cref Ira","TIAA-CREF IRA    TIAA-CREF","500.00","debit","Roth IRA","TOTAL CHECKING","",""
"4/04/2022","Geico","GEICO  *AUTO","46.30","debit","Motorcycle Insurance","CREDIT CARD","",""
"4/04/2022","Apple","APPLE.COM/BILL","21.76","debit","Electronics & Software","CREDIT CARD","",""
"4/04/2022","Amazon","Amazon.com*1H61R68P1","31.95","debit","Shopping","CREDIT CARD","",""
"4/04/2022","Dunkin Donuts","DD/BR #337561 Q35","4.79","debit","Coffee Shops","CREDIT CARD","",""
"4/04/2022","CAFE HENRI","CAFE HENRI","71.86","debit","Restaurants","CREDIT CARD","",""
"4/04/2022","NYTimes*NYTimes 800-698-4637 NY 04/02","NYTimes*NYTimes 800-698-4637 NY","17.00","debit","Newspapers & Magazines","TOTAL CHECKING","",""
"4/04/2022","Chase card ending in 8242 04/04","Payment to Chase card ending in","7000.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"4/04/2022","REAL TIME TRANSFER RECD FROM ABA /021000021 FROM: COINBASE REF: 8SJ4NHBT INFO: IID: 2022040202100002","REAL TIME TRANSFER RECD FROM ABA","7014.51","credit","Crypto","TOTAL CHECKING","",""
"4/04/2022","YORKVILLE PLAZA WEB PMTS KDCJ P2 WEB ID: 9000233586","YORKVILLE PLAZA  WEB PMTS   KDCJ","1205.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"4/03/2022","Payment Thank You-Mobile","Payment Thank You-Mobile","7000.00","credit","Credit Card Payment","CREDIT CARD","",""
"4/03/2022","IN *STANDARD MOTO LLC","IN *STANDARD MOTO LLC","223.88","debit","Motorcycle Garage","CREDIT CARD","",""
"4/03/2022","MARWIN THAI RESTAURANT","MARWIN THAI RESTAURANT","68.00","debit","Restaurants","CREDIT CARD","",""
"4/01/2022","FDNY BUSINESS FDNY BUS C 206253384 WEB ID: 1136400434","FDNY BUSINESS    FDNY BUS   C","5.00","debit","Misc Expenses","TOTAL CHECKING","",""
"4/01/2022","UHAPDG.COM","UHAPDG.COM","2.99","debit","Fraud Reimbursed","CREDIT CARD","",""
"4/01/2022","Trader Joe's","TRADER JOE'S #571 QPS","35.00","debit","Groceries","CREDIT CARD","",""
"3/31/2022","Chase card ending in 8242 03/31","Payment to Chase card ending in","243.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/31/2022","MEMORIAL SLOAN K PAYROLL PPD ID: 9200401281","MEMORIAL SLOAN K PAYROLL","2388.23","credit","MSK Paycheck","TOTAL CHECKING","",""
"3/31/2022","Payment Thank You - Web","Payment Thank You - Web","243.00","credit","Credit Card Payment","CREDIT CARD","",""
"3/30/2022","COINBASE INC. 8889087930 LTPF WMVS WEB ID: 1327000623","COINBASE INC.    8889087930 LTPF","1200.00","debit","Crypto","TOTAL CHECKING","",""
"3/30/2022","COINBASE INC. 8889087930 TG5W Z8ZN WEB ID: 1327000623","COINBASE INC.    8889087930 TG5W","500.00","debit","Crypto","TOTAL CHECKING","",""
"3/30/2022","BEST PIZZA II","BEST PIZZA II","9.88","debit","Restaurants","CREDIT CARD","",""
"3/30/2022","Rite Aid","RITE AID 04688","6.77","debit","Pharmacy","CREDIT CARD","",""
"3/30/2022","MTA","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/29/2022","Amazon","Amazon.com*161KI8UK1","51.43","debit","Shopping","CREDIT CARD","",""
"3/29/2022","Shake Shack","SHAKE SHACK - 1105A","62.58","debit","Fast Food","CREDIT CARD","",""
"3/29/2022","Lyft","LYFT   *1 RIDE 03-27","87.43","debit","Taxi_Lyft","CREDIT CARD","",""
"3/29/2022","Instacart","INSTACART","59.40","debit","Groceries","CREDIT CARD","",""
"3/28/2022","COINBASE INC. 8889087930 F9VR PLBH WEB ID: 1327000623","COINBASE INC.    8889087930 F9VR","100.00","debit","Crypto","TOTAL CHECKING","",""
"3/28/2022","VTG*LCSW","VTG*LCSW","30.00","debit","Doctor","CREDIT CARD","",""
"3/28/2022","Apple","APPLE.COM/BILL","119.74","debit","Electronics & Software","CREDIT CARD","",""
"3/27/2022","Prime Video*1N18Q8IE0","Prime Video*1N18Q8IE0","5.99","debit","Movies & DVDs","CREDIT CARD","",""
"3/27/2022","Lyft","LYFT   *1 RIDE 03-25","93.59","debit","Taxi_Lyft","CREDIT CARD","",""
"3/27/2022","WHITEFACE LAKE PLACID WEB","WHITEFACE LAKE PLACID WEB","128.00","debit","Vacation","CREDIT CARD","",""
"3/27/2022","GrubHub Seamless","SEAMLSSHARLEMBISCUITC","38.29","debit","Food & Dining","CREDIT CARD","",""
"3/27/2022","Apple","APPLE.COM/BILL","10.88","debit","Electronics & Software","CREDIT CARD","",""
"3/25/2022","Starbucks","STARBUCKS 800-782-7282","25.00","debit","Coffee Shops","CREDIT CARD","",""
"3/25/2022","Amazon","AMZN Mktp US*1N5595760","13.34","debit","Shopping","CREDIT CARD","",""
"3/25/2022","Curb","CURB TAXI APP","12.96","debit","Taxi_Lyft","CREDIT CARD","",""
"3/25/2022","COINBASE INC. 8889087930 SXKF FVD2 WEB ID: 1327000623","COINBASE INC.    8889087930 SXKF","500.00","debit","Crypto","TOTAL CHECKING","",""
"3/24/2022","Rite Aid","RITE AID 04688","40.20","debit","Pharmacy","CREDIT CARD","",""
"3/24/2022","MTA","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/24/2022","Blue Mountain","BLUEMOUNTAIN*0323-0422","6.99","debit","Shopping","CREDIT CARD","",""
"3/24/2022","MOJANG","MOJANG","26.95","debit","Entertainment","CREDIT CARD","",""
"3/24/2022","Shell","SHELL OIL 57544416209","6.24","debit","Gas & Fuel","CREDIT CARD","",""
"3/23/2022","PIZZA PARK","PIZZA PARK","10.40","debit","Restaurants","CREDIT CARD","",""
"3/23/2022","REVEL* RIDE","REVEL* RIDE","6.45","debit","Revel","CREDIT CARD","",""
"3/23/2022","BEST PIZZA II","BEST PIZZA II","9.88","debit","Restaurants","CREDIT CARD","",""
"3/23/2022","REVEL* RIDE","REVEL* RIDE","6.45","debit","Revel","CREDIT CARD","",""
"3/23/2022","Trader Joe's","TRADER JOE'S #571 QPS","24.48","debit","Groceries","CREDIT CARD","",""
"3/23/2022","COINBASE INC. 8889087930 62N5 RCCL WEB ID: 1327000623","COINBASE INC.    8889087930 62N5","500.00","debit","Crypto","TOTAL CHECKING","",""
"3/22/2022","TAL BAGEL","TAL BAGEL","8.71","debit","Fast Food","CREDIT CARD","",""
"3/22/2022","Prime Video*1N5BC6IR1","Prime Video*1N5BC6IR1","10.99","debit","Movies & DVDs","CREDIT CARD","",""
"3/22/2022","Amazon","Amazon.com*1N5TF29T1","57.65","debit","Shopping","CREDIT CARD","",""
"3/22/2022","REVEL* RIDE","REVEL* RIDE","6.98","debit","Revel","CREDIT CARD","",""
"3/22/2022","Verizon","VERIZON          PAYMENTREC 7560","82.48","debit","Internet","TOTAL CHECKING","",""
"3/22/2022","Inbase Inc.","COINBASE INC.    8889087930 EXPA","300.00","debit","Crypto","TOTAL CHECKING","",""
"3/22/2022","MTA","MTA*NYCT PAYGO NEW YORK NY","2.75","debit","Public Transportation","TOTAL CHECKING","",""
"3/21/2022","REVEL* RIDE","REVEL* RIDE","5.91","debit","Revel","CREDIT CARD","",""
"3/21/2022","GrubHub Seamless","SEAMLSSCHINAJADE","22.16","debit","Food & Dining","CREDIT CARD","",""
"3/21/2022","Curb","CURB TAXI APP","11.76","debit","Taxi_Lyft","CREDIT CARD","",""
"3/21/2022","VTG*LCSW","VTG*LCSW","30.00","debit","Doctor","CREDIT CARD","",""
"3/21/2022","Instacart","INSTACART","82.97","debit","Groceries","CREDIT CARD","",""
"3/21/2022","MADAME BONTE CAFE NEW YORK N Y 03/20","SQ *MADAME BONTE CAFE NEW YORK N","10.07","debit","Restaurants","TOTAL CHECKING","",""
"3/21/2022","Venmo","VENMO            PAYMENT    1019","40.00","debit","Venmo","TOTAL CHECKING","",""
"3/20/2022","REVEL* RIDE","REVEL* RIDE","19.25","debit","Revel","CREDIT CARD","",""
"3/20/2022","Brooklyn Pizza Market","BROOKLYN PIZZA MASTERS","12.00","debit","Fast Food","CREDIT CARD","",""
"3/20/2022","ADEPT POWER SPORTS","ADEPT POWER SPORTS","147.38","debit","Motorcycle Parts","CREDIT CARD","",""
"3/20/2022","RAVAGH PERSIAN GRILL MAD","RAVAGH PERSIAN GRILL MAD","75.15","debit","Restaurants","CREDIT CARD","",""
"3/20/2022","REVEL* RIDE","REVEL* RIDE","9.65","debit","Revel","CREDIT CARD","",""
"3/18/2022","Apple","APPLE.COM/BILL","0.99","debit","Electronics & Software","CREDIT CARD","",""
"3/18/2022","Starbucks","STARBUCKS STORE 07612","5.39","debit","Coffee Shops","CREDIT CARD","",""
"3/18/2022","MotoSport","REVZILLA MOTORSPORTS","45.97","debit","Motorcycle Parts","CREDIT CARD","",""
"3/17/2022","MARWIN THAI RESTAURANT","MARWIN THAI RESTAURANT","48.18","debit","Restaurants","CREDIT CARD","",""
"3/17/2022","UHAPDG.COM","UHAPDG.COM","2.99","debit","Fraud Reimbursed","CREDIT CARD","",""
"3/17/2022","MEMORIAL SLOAN K PAYROLL PPD ID: 9200401281","MEMORIAL SLOAN K PAYROLL","2343.04","credit","MSK Paycheck","TOTAL CHECKING","",""
"3/16/2022","Instacart","INSTACART","109.36","debit","Groceries","CREDIT CARD","",""
"3/16/2022","NYTimes*NYTimes","NYTimes*NYTimes","28.53","debit","Newspapers & Magazines","CREDIT CARD","",""
"3/16/2022","Hulu","HLU*Hulu 1230570058321-U","12.00","debit","Movies & DVDs","CREDIT CARD","",""
"3/16/2022","ADEPT POWER SPORTS","ADEPT POWER SPORTS","22.78","debit","Shopping","CREDIT CARD","",""
"3/16/2022","Prime Video*1Z33L9142","Prime Video*1Z33L9142","9.99","debit","Movies & DVDs","CREDIT CARD","",""
"3/16/2022","Lyft","LYFT   *1 RIDE 03-14","19.08","debit","Taxi_Lyft","CREDIT CARD","",""
"3/16/2022","MONTHLY SERVICE FEE","MONTHLY SERVICE FEE","5.00","debit","Bank Fee","CHASE SAVINGS","",""
"3/16/2022","Zelle payment to KATHY 138946488 09","Zelle payment to KATHY 138946488","14.00","debit","Restaurants","TOTAL CHECKING","",""
"3/16/2022","COINBASE INC. 8889087930 74D3 N243 WEB ID: 1327000623","COINBASE INC.    8889087930 74D3","800.00","debit","Crypto","TOTAL CHECKING","",""
"3/15/2022","Manual Cr Bkrg","Manual CR-Bkrg","2000.00","credit","Chase Investment Account","TOTAL CHECKING","",""
"3/15/2022","Venmo","VENMO            PAYMENT    1018","75.00","debit","Venmo","TOTAL CHECKING","",""
"3/15/2022","GrubHub Seamless","SEAMLSSNICKSPIZZERIA","33.19","debit","Food & Dining","CREDIT CARD","",""
"3/15/2022","MTA","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/15/2022","eBay","eBay O*19-08367-23263","113.40","credit","Shopping","CREDIT CARD","",""
"3/15/2022","Trader Joe's","TRADER JOE'S #571 QPS","29.32","debit","Groceries","CREDIT CARD","",""
"3/14/2022","COINBASE INC. 8889087930 3RLH R32S WEB ID: 1327000623","COINBASE INC.    8889087930 3RLH","200.00","debit","Crypto","TOTAL CHECKING","",""
"3/14/2022","Travelers Insurance","Travelers        PER INSUR","17.00","debit","Renters Insurance","TOTAL CHECKING","",""
"3/14/2022","VTG*LCSW","VTG*LCSW","40.00","debit","Doctor","CREDIT CARD","",""
"3/14/2022","Lyft","LYFT   *1 RIDE 03-12","9.96","debit","Taxi_Lyft","CREDIT CARD","",""
"3/14/2022","HELP.HBOMAX.COM","HELP.HBOMAX.COM","14.99","debit","Entertainment","CREDIT CARD","",""
"3/14/2022","GrubHub Seamless","SEAMLSSCHINAJADE","52.21","debit","Food & Dining","CREDIT CARD","",""
"3/14/2022","VTG*LCSW","VTG*LCSW","10.00","debit","Doctor","CREDIT CARD","",""
"3/14/2022","Home Depot","THE HOME DEPOT 6177","97.97","debit","Shopping","CREDIT CARD","",""
"3/14/2022","BEST PIZZA II","BEST PIZZA II","8.32","debit","Restaurants","CREDIT CARD","",""
"3/13/2022","Shake Shack","SHAKE SHACK - 1105A","68.52","debit","Fast Food","CREDIT CARD","",""
"3/13/2022","CURB SVC NEW YORK","CURB SVC NEW YORK","19.24","debit","Taxi_Lyft","CREDIT CARD","",""
"3/13/2022","MTA","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/13/2022","Starbucks","STARBUCKS 800-782-7282","25.00","debit","Coffee Shops","CREDIT CARD","",""
"3/13/2022","Steam Games","STEAMGAMES.COM 4259522985","21.76","debit","Games","CREDIT CARD","",""
"3/13/2022","PEAKY BARISTA LLC","PEAKY  BARISTA LLC","3.81","debit","Coffee Shops","CREDIT CARD","",""
"3/13/2022","Amazon","Amazon Digit*1W8XZ0RM2","7.99","debit","Shopping","CREDIT CARD","",""
"3/13/2022","Curb","CURB TAXI APP","12.36","debit","Taxi_Lyft","CREDIT CARD","",""
"3/13/2022","ADEPT POWER SPORTS","ADEPT POWER SPORTS","57.88","debit","Motorcycle Parts","CREDIT CARD","",""
"3/13/2022","eBay","eBay O*19-08367-23263","113.40","debit","Shopping","CREDIT CARD","",""
"3/13/2022","TAXI SVC 41-25 36TH ST","TAXI SVC 41-25 36TH ST","16.62","debit","Rental Car & Taxi","CREDIT CARD","",""
"3/11/2022","PURCHASE INTEREST CHARGE","PURCHASE INTEREST CHARGE","153.69","debit","Finance Charge","CREDIT CARD","",""
"3/11/2022","Amazon","AMZN Mktp US*1W7ZZ0S82","48.88","debit","Shopping","CREDIT CARD","",""
"3/11/2022","BEST PIZZA II","BEST PIZZA II","9.88","debit","Restaurants","CREDIT CARD","",""
"3/10/2022","COINBASE INC. 8889087930 SV3E 9K2Y WEB ID: 1327000623","COINBASE INC.    8889087930 SV3E","200.00","debit","Crypto","TOTAL CHECKING","",""
"3/10/2022","Shake Shack","SHAKE SHACK - 1105A","35.13","debit","Fast Food","CREDIT CARD","",""
"3/10/2022","Instacart","INSTACART","71.39","debit","Groceries","CREDIT CARD","",""
"3/09/2022","BANLTT.COM","BANLTT.COM","48.19","debit","Fraud Reimbursed","CREDIT CARD","",""
"3/09/2022","COINBASE INC. 8889087930 G58W NXSX WEB ID: 1327000623","COINBASE INC.    8889087930 G58W","500.00","debit","Crypto","TOTAL CHECKING","",""
"3/08/2022","GrubHub Seamless","SEAMLSSSANMATTEOPIZZA","33.96","debit","Food & Dining","CREDIT CARD","",""
"3/08/2022","MotoSport","REVZILLA MOTORSPORTS","151.56","debit","Motorcycle Parts","CREDIT CARD","",""
"3/07/2022","GrubHub Seamless","SEAMLSSSANMATTEOPIZZA","32.55","debit","Food & Dining","CREDIT CARD","",""
"3/07/2022","Shell","SHELL OIL 57544416209","8.87","debit","Gas & Fuel","CREDIT CARD","",""
"3/07/2022","Tiaa Cref Ira","TIAA-CREF IRA    TIAA-CREF","500.00","debit","Roth IRA","TOTAL CHECKING","",""
"3/07/2022","NYTimes*NYTimes 800-698-4637 NY 03/05","NYTimes*NYTimes 800-698-4637 NY","17.00","debit","Newspapers & Magazines","TOTAL CHECKING","",""
"3/07/2022","PayPal","PAYPAL           INST XFER  BTGU","6.95","debit","Shopping","TOTAL CHECKING","",""
"3/07/2022","COINBASE INC. 8889087930 6WY3 NADJ WEB ID: 1327000623","COINBASE INC.    8889087930 6WY3","500.00","debit","Crypto","TOTAL CHECKING","",""
"3/06/2022","TAL BAGEL","TAL BAGEL","8.71","debit","Fast Food","CREDIT CARD","",""
"3/06/2022","GrubHub Seamless","SEAMLSSCHINAJADE","25.75","debit","Food & Dining","CREDIT CARD","",""
"3/04/2022","COINBASE INC. 8889087930 8KUK TPQE WEB ID: 1327000623","COINBASE INC.    8889087930 8KUK","500.00","debit","Crypto","TOTAL CHECKING","",""
"3/04/2022","Geico","GEICO  *AUTO","46.30","debit","Motorcycle Insurance","CREDIT CARD","",""
"3/03/2022","Chase card ending in 8242 03/03","Payment to Chase card ending in","1000.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/03/2022","COINBASE INC. 8889087930 5N67 ZVB2 WEB ID: 1327000623","COINBASE INC.    8889087930 5N67","700.00","debit","Crypto","TOTAL CHECKING","",""
"3/03/2022","MEMORIAL SLOAN K PAYROLL PPD ID: 9200401281","MEMORIAL SLOAN K PAYROLL","2314.98","credit","MSK Paycheck","TOTAL CHECKING","",""
"3/03/2022","Payment Thank You-Mobile","Payment Thank You-Mobile","1000.00","credit","Credit Card Payment","CREDIT CARD","",""
"3/02/2022","YORKVILLE PLAZA WEB PMTS PMXL M2 WEB ID: 9000233586","YORKVILLE PLAZA  WEB PMTS   PMXL","1205.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"3/02/2022","Chase card ending in 8242 03/02","Payment to Chase card ending in","131.07","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/02/2022","COINBASE INC. 8889087930 YBKU LAZZ WEB ID: 1327000623","COINBASE INC.    8889087930 YBKU","500.00","debit","Crypto","TOTAL CHECKING","",""
"3/02/2022","Manual Cr Bkrg","Manual CR-Bkrg","2053.47","credit","Chase Investment Account","TOTAL CHECKING","",""
"3/02/2022","Apple","APPLE.COM/BILL","21.76","debit","Electronics & Software","CREDIT CARD","",""
"3/02/2022","GrubHub Seamless","SEAMLSSCHINAJADE","55.52","debit","Food & Dining","CREDIT CARD","",""
"3/02/2022","UHAPDG.COM","UHAPDG.COM","2.99","debit","Fraud Reimbursed","CREDIT CARD","",""
"3/02/2022","IN *STANDARD MOTO LLC","IN *STANDARD MOTO LLC","223.88","debit","Motorcycle Garage","CREDIT CARD","",""
"3/02/2022","PIZZA PARK","PIZZA PARK","11.43","debit","Restaurants","CREDIT CARD","",""
"3/02/2022","Payment Thank You - Web","Payment Thank You - Web","131.07","credit","Credit Card Payment","CREDIT CARD","",""
"3/02/2022","Trader Joe's","TRADER JOE'S #571 QPS","32.77","debit","Groceries","CREDIT CARD","",""
"3/01/2022","E-Z*PASSNY TOLLBYMAIL","E-Z*PASSNY TOLLBYMAIL","17.84","debit","Auto & Transport","CREDIT CARD","",""
"3/01/2022","Starbucks","STARBUCKS 800-782-7282","25.00","debit","Coffee Shops","CREDIT CARD","",""
"2/28/2022","Tpg Products Sbtpg","TPG PRODUCTS     SBTPG LLC","741.42","credit","Income","TOTAL CHECKING","",""
"2/28/2022","NY State Tax","NY STATE         NYSTTAXRFD","393.00","credit","State Tax","TOTAL CHECKING","",""
"2/28/2022","COINBASE INC. 8889087930 RH7H CBLX WEB ID: 1327000623","COINBASE INC.    8889087930 RH7H","500.00","debit","Crypto","TOTAL CHECKING","",""
"2/28/2022","TAL BAGEL","TAL BAGEL","9.64","debit","Fast Food","CREDIT CARD","",""
"2/28/2022","GrubHub Seamless","SEAMLSSSANMATTEOPIZZA","35.27","debit","Food & Dining","CREDIT CARD","",""
"2/28/2022","B&H Photo","B&H PHOTO 800-606-6969","14.13","debit","Electronics & Software","CREDIT CARD","",""
"2/28/2022","ZESTY PIZZERIA AND SALUME","ZESTY PIZZERIA AND SALUME","11.00","debit","Restaurants","CREDIT CARD","",""
"2/27/2022","MTA","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/27/2022","Lyft","LYFT   *CANCEL FEE","6.03","debit","Taxi_Lyft","CREDIT CARD","",""
"2/27/2022","LEDGER* LEDGER","LEDGER* LEDGER","85.63","debit","Newspapers & Magazines","CREDIT CARD","",""
"2/27/2022","CREATIVE MOBILE","CREATIVE MOBILE","15.38","debit","Taxi_Lyft","CREDIT CARD","",""
"2/25/2022","Prime Video*1I13W8K11","Prime Video*1I13W8K11","5.99","debit","Movies & DVDs","CREDIT CARD","",""
"2/25/2022","Lyft","LYFT   *1 RIDE 02-23","17.77","debit","Taxi_Lyft","CREDIT CARD","",""
"2/25/2022","GREEK EATS","GREEK EATS","19.72","debit","Restaurants","CREDIT CARD","",""
"2/24/2022","MTA","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/24/2022","Dunkin Donuts","DD/BR #351274 Q35","3.36","debit","Coffee Shops","CREDIT CARD","",""
"2/23/2022","Venmo","VENMO            PAYMENT    1018","116.60","debit","Venmo","TOTAL CHECKING","",""
"2/23/2022","QKAKIN.COM","QKAKIN.COM","71.40","debit","Shopping","CREDIT CARD","",""
"2/23/2022","Rite Aid","RITE AID 04688","11.18","debit","Pharmacy","CREDIT CARD","",""
"2/22/2022","TAL BAGELS LEXINGTON","TAL BAGELS LEXINGTON","9.53","debit","Fast Food","CREDIT CARD","",""
"2/22/2022","Fairway Market","FAIRWAY MARKET OF 86TH","50.40","debit","Groceries","CREDIT CARD","",""
"2/22/2022","Prime Video*W96NP4QK3","Prime Video*W96NP4QK3","10.99","debit","Movies & DVDs","CREDIT CARD","",""
"2/22/2022","Blue Mountain","BLUEMOUNTAIN*0221-0323","6.99","debit","Shopping","CREDIT CARD","",""
"2/22/2022","Verizon","VERIZON          PAYMENTREC 7560","82.48","debit","Internet","TOTAL CHECKING","",""
"2/22/2022","Venmo","VENMO            PAYMENT    1018","75.00","debit","Venmo","TOTAL CHECKING","",""
"2/22/2022","COINBASE INC. 8889087930 FJ29 AJDU WEB ID: 1327000623","COINBASE INC.    8889087930 FJ29","600.00","debit","Crypto","TOTAL CHECKING","",""
"2/21/2022","GrubHub Seamless","SEAMLSSCHINAJADE","55.52","debit","Food & Dining","CREDIT CARD","",""
"2/20/2022","MADAME BONTE CAFE","SQ *MADAME BONTE CAFE","10.62","debit","Restaurants","CREDIT CARD","",""
